product_id,name,category,price,quantity
29-205-1132,Sushi Rice,Grains & Pulses,4.50,22
40-681-9981,Arabica Coffee,Beverages,20.00,45
06-955-3428,Black Rice,Grains & Pulses,6.00,30
71-594-6552,Long Grain Rice,Grains & Pulses,1.50,12
57-437-1828,Plum,Fruits & Vegetables,4.00,37
21-120-6238,All-Purpose Flour,Grains & Pulses,1.75,55
71-516-1996,Corn Oil,Oils & Fats,2.50,96
39-629-5554,Egg (Goose),Dairy,2.50,44
66-268-8345,Greek Yogurt,Dairy,3.00,91
46-452-9419,Egg (Duck),Dairy,1.00,43
51-469-4611,Long Grain Rice,Grains & Pulses,1.60,62
42-220-9305,White Sugar,Grains & Pulses,2.00,91
75-094-1179,Rye Bread,Bakery,3.00,26
11-073-0189,Plum,Fruits & Vegetables,4.00,95
22-621-2774,Strawberries,Fruits & Vegetables,6.00,54
39-449-0772,Feta Cheese,Dairy,7.00,94
55-936-2406,Bread Flour,Grains & Pulses,1.50,27
82-041-7211,Swiss Cheese,Dairy,8.00,49
48-414-6162,Arabica Coffee,Beverages,20.00,55
76-854-0095,White Sugar,Grains & Pulses,2.00,65
25-349-7974,Spinach,Fruits & Vegetables,2.50,72
66-627-9752,Trout,Seafood,12.00,49
78-614-4402,Green Beans,Fruits & Vegetables,2.00,81
67-025-1245,Cabbage,Fruits & Vegetables,1.00,88
68-418-6724,Parmesan Cheese,Dairy,12.00,63
40-795-0753,Raw Sugar,Grains & Pulses,1.50,31
02-508-3777,Egg (Quail),Dairy,0.80,97
79-741-0770,Mushrooms,Fruits & Vegetables,6.00,72
31-211-5803,Oatmeal Biscuit,Bakery,5.00,16
16-499-5059,Pear,Fruits & Vegetables,4.50,77
76-340-4432,Cucumber,Fruits & Vegetables,1.75,19
38-732-7667,Pineapple,Fruits & Vegetables,3.50,18
04-240-2226,Olive Oil,Oils & Fats,6.00,47
79-136-9840,Herbal Tea,Beverages,30.00,77
73-401-5721,Haddock,Seafood,9.00,46
91-848-0606,Onion,Fruits & Vegetables,2.00,39
54-109-8062,Sushi Rice,Grains & Pulses,4.50,75
70-612-2531,Pineapple,Fruits & Vegetables,3.45,48
26-161-6692,Zucchini,Fruits & Vegetables,2.50,61
43-893-5408,Short Grain Rice,Grains & Pulses,3.00,60
11-316-8405,Mango,Fruits & Vegetables,5.00,24
34-086-3222,Lemon,Fruits & Vegetables,2.30,12
21-816-1004,Black Coffee,Beverages,15.00,84
43-693-2092,Butter,Dairy,3.00,51
63-270-7076,Multigrain Bread,Bakery,3.50,65
90-230-9767,Long Grain Rice,Grains & Pulses,1.50,67
05-334-2923,Bread Flour,Grains & Pulses,1.50,14
52-481-5224,Kiwi,Fruits & Vegetables,6.00,45
11-325-7396,Mango,Fruits & Vegetables,5.00,92
70-854-6891,Sourdough Bread,Bakery,4.00,41
46-520-1819,Short Grain Rice,Grains & Pulses,4.50,41
91-105-7317,Orange,Fruits & Vegetables,3.00,85
40-751-8635,Pineapple,Fruits & Vegetables,3.40,44
02-920-4829,White Bread,Bakery,2.50,92
36-918-2937,Green Coffee,Beverages,12.00,62
68-761-6907,Zucchini,Fruits & Vegetables,2.50,26
69-468-5468,Sourdough Bread,Bakery,4.50,59
27-635-8394,Orange,Fruits & Vegetables,2.90,88
41-729-5410,Sardines,Seafood,6.00,91
33-335-9140,Olive Oil,Oils & Fats,6.00,28
11-581-9869,Carrot,Fruits & Vegetables,1.50,51
78-237-0277,Black Tea,Beverages,5.00,46
75-152-8731,Pear,Fruits & Vegetables,4.45,82
65-718-0492,Olive Oil,Oils & Fats,6.00,100
55-697-5242,Ricotta Cheese,Dairy,6.00,51
14-844-4138,Black Coffee,Beverages,15.00,61
20-225-3930,White Tea,Beverages,25.00,99
66-993-4234,Cucumber,Fruits & Vegetables,1.80,13
87-762-1317,Mozzarella Cheese,Dairy,7.00,45
81-844-2979,Broccoli,Fruits & Vegetables,4.00,73
44-408-7594,Eggplant,Fruits & Vegetables,3.00,39
26-010-9519,Trout,Seafood,12.00,29
65-464-5070,Heavy Cream,Dairy,4.00,12
07-970-9352,Bell Pepper,Fruits & Vegetables,4.45,96
88-746-9468,Onion,Fruits & Vegetables,2.00,35
06-336-5482,Sardines,Seafood,6.00,89
03-276-3931,Mango,Fruits & Vegetables,4.50,60
39-232-5341,Arborio Rice,Grains & Pulses,4.50,20
12-239-9399,Potato,Fruits & Vegetables,1.20,28
75-080-4909,Corn Oil,Oils & Fats,2.50,20
70-815-4015,Butter Biscuit,Bakery,6.00,38
11-032-9778,Peas,Fruits & Vegetables,3.00,99
54-374-9986,Cream,Dairy,2.50,92
77-312-6317,Spinach,Fruits & Vegetables,2.40,41
13-844-2178,Sardines,Seafood,6.00,44
22-141-9798,White Sugar,Grains & Pulses,2.00,47
20-022-3173,Bread Flour,Grains & Pulses,1.50,21
26-177-5690,Cucumber,Fruits & Vegetables,1.80,85
70-871-4536,Swiss Cheese,Dairy,8.00,29
06-611-5454,Peanut Oil,Oils & Fats,4.00,64
89-543-3456,Blueberries,Fruits & Vegetables,10.00,66
82-395-5070,Chocolate Biscuit,Bakery,5.00,75
14-305-5348,Cheese,Dairy,9.00,53
82-243-3180,Palm Oil,Oils & Fats,1.80,43
25-010-9478,Eggplant,Fruits & Vegetables,3.00,74
13-202-4809,Garlic,Fruits & Vegetables,7.00,27
67-270-7464,Jasmine Rice,Grains & Pulses,4.75,91
11-733-1756,Rice Flour,Grains & Pulses,2.00,52
80-988-4653,Zucchini,Fruits & Vegetables,2.50,43
60-343-7973,Multigrain Bread,Bakery,3.20,56
34-861-4446,Ricotta Cheese,Dairy,6.00,66
67-710-5120,Bread Flour,Grains & Pulses,1.50,84
49-891-4927,Cottage Cheese,Dairy,5.00,37
55-522-8242,Whipped Cream,Dairy,4.00,29
62-509-0666,Almond Flour,Grains & Pulses,9.50,13
64-478-4745,Lemon,Fruits & Vegetables,2.50,63
35-835-5591,Tilapia,Seafood,7.00,95
26-690-3784,Lettuce,Fruits & Vegetables,2.00,58
